run_id,scenario,method,seed,target_count,start_x,start_y,home_x,home_y,mission_start_time,mission_end_time,mission_completed,returned_home,manual_intervention,collision_count,software_commit
P2_S2_B2_seed1003,S2,B2,1003,3,5.4013809249557745e-05,-1.17898637511883e-06,5.4013809249557745e-05,-1.17898637511883e-06,10.2,79.5,False,False,False,0,unknown
P2_S2_B2_seed1004,S2,B2,1004,3,0.002469723169647402,-5.552114710260752e-05,0.002469723169647402,-5.552114710260752e-05,12.9,78.2,False,False,False,0,unknown
P2_S2_B2_seed1005,S2,B2,1005,3,0.002740539820205676,-6.176184607771155e-05,0.002740539820205676,-6.176184607771155e-05,12.5,120.5,False,False,False,0,unknown
P2_S2_B2_seed1006,S2,B2,1006,3,0.000796111436367731,-1.765092528822239e-05,0.000796111436367731,-1.765092528822239e-05,12.8,78.6,False,False,False,0,unknown
P2_S2_B2_seed1007,S2,B2,1007,3,0.0026100380966934994,-5.877132527681835e-05,0.0026100380966934994,-5.877132527681835e-05,12.6,121.2,False,False,False,0,unknown
P2_S2_B2_seed1008,S2,B2,1008,3,1.452489687403837e-05,-3.792751055246641e-07,1.452489687403837e-05,-3.792751055246641e-07,11.5,119.5,False,False,False,0,unknown
P2_S2_B2_seed1009,S2,B2,1009,3,0.003275051213889843,-7.459605352080132e-05,0.003275051213889843,-7.459605352080132e-05,14.4,122.1,False,False,False,0,unknown
P2_S2_B2_seed1010,S2,B2,1010,3,0.0025656134721690578,-5.77386245563304e-05,0.0025656134721690578,-5.77386245563304e-05,12.4,81.2,False,False,False,0,unknown
P2_S2_B3_seed1001,S2,B3,1001,3,0.003139001007354278,-7.128930510702538e-05,0.003139001007354278,-7.128930510702538e-05,14.0,271.0,True,True,False,0,unknown
P2_S2_B3_seed1002,S2,B3,1002,3,0.0010657439400396608,-2.3566746300863835e-05,0.0010657439400396608,-2.3566746300863835e-05,13.0,269.3,True,True,False,0,unknown
P2_S2_B3_seed1003,S2,B3,1003,3,0.0010117313552773569,-2.233947116664049e-05,0.0010117313552773569,-2.233947116664049e-05,12.8,262.6,True,True,False,0,unknown
P2_S2_B3_seed1004,S2,B3,1004,3,0.002132146869144584,-4.7608419441917595e-05,0.002132146869144584,-4.7608419441917595e-05,11.1,312.1,True,True,False,0,unknown
P2_S2_B3_seed1005,S2,B3,1005,3,0.0003152718627529631,-6.971243938167669e-06,0.0003152718627529631,-6.971243938167669e-06,12.5,309.0,True,True,False,0,unknown
P2_S2_B3_seed1006,S2,B3,1006,3,0.0005663213582282411,-1.2463779091528554e-05,0.0005663213582282411,-1.2463779091528554e-05,13.2,348.6,True,True,False,0,unknown
P2_S2_B3_seed1007,S2,B3,1007,3,0.00038237828033135595,-8.351048820848184e-06,0.00038237828033135595,-8.351048820848184e-06,12.6,272.2,True,True,False,0,unknown
P2_S2_B3_seed1008,S2,B3,1008,3,0.0010794530282990523,-2.3909953724549707e-05,0.0010794530282990523,-2.3909953724549707e-05,13.6,317.1,True,True,False,0,unknown
P2_S2_B3_seed1009,S2,B3,1009,3,0.001000493479278051,-2.220012840215951e-05,0.001000493479278051,-2.220012840215951e-05,14.5,308.9,True,True,False,0,unknown
P2_S2_B3_seed1010,S2,B3,1010,3,0.000513088318085045,-1.1242198398005729e-05,0.000513088318085045,-1.1242198398005729e-05,13.0,263.1,True,True,False,0,unknown
P2_S2_P_seed1001,S2,P,1001,3,0.002599904665729962,-5.862171034093532e-05,0.002599904665729962,-5.862171034093532e-05,12.4,352.7,True,True,False,0,unknown
P2_S2_P_seed1002,S2,P,1002,3,2.7006909850535837e-05,-5.893602591656058e-07,2.7006909850535837e-05,-5.893602591656058e-07,10.9,278.3,True,True,False,0,unknown
P2_S2_P_seed1003,S2,P,1003,3,0.001025434110652548,-2.2679335006865186e-05,0.001025434110652548,-2.2679335006865186e-05,12.6,268.7,True,True,False,0,unknown
P2_S2_P_seed1004,S2,P,1004,3,0.0024697230544568067,-5.54273507294091e-05,0.0024697230544568067,-5.54273507294091e-05,12.1,294.1,True,True,False,0,unknown
P2_S2_P_seed1005,S2,P,1005,3,0.0010348644312721963,-2.2987171625120818e-05,0.0010348644312721963,-2.2987171625120818e-05,13.7,258.2,True,True,False,0,unknown
P2_S2_P_seed1006,S2,P,1006,3,0.0031390437513125757,-7.135843605878128e-05,0.0031390437513125757,-7.135843605878128e-05,14.0,267.0,True,True,False,0,unknown
P2_S2_P_seed1007,S2,P,1007,3,0.0007990019860394942,-1.7590607993715262e-05,0.0007990019860394942,-1.7590607993715262e-05,12.9,268.1,True,True,False,0,unknown
P2_S2_P_seed1008,S2,P,1008,3,1.452489687403837e-05,-3.7927510552433883e-07,1.452489687403837e-05,-3.7927510552433883e-07,11.5,312.8,True,True,False,0,unknown
P2_S2_P_seed1009,S2,P,1009,3,0.0008618268829666573,-1.8963977875816642e-05,0.0008618268829666573,-1.8963977875816642e-05,13.4,349.2,True,True,False,0,unknown
P2_S2_P_seed1010,S2,P,1010,3,3.190141504722801e-05,-6.747425155747482e-07,3.190141504722801e-05,-6.747425155747482e-07,12.0,285.2,False,False,False,0,unknown
P2_S3_B1_seed1001,S3,B1,1001,3,0.0010259822429328728,-2.2751928121012634e-05,0.0010259822429328728,-2.2751928121012634e-05,13.6,304.2,False,False,False,0,unknown
P2_S3_B1_seed1002,S3,B1,1002,3,0.00037515928995783586,-8.266448206954397e-06,0.00037515928995783586,-8.266448206954397e-06,12.6,199.8,False,False,False,0,unknown
P2_S3_B1_seed1003,S3,B1,1003,3,0.0024697230946352346,-5.546486928650944e-05,0.0024697230946352346,-5.546486928650944e-05,12.3,178.2,False,False,False,0,unknown
P2_S3_B1_seed1004,S3,B1,1004,3,0.003011006954683963,-6.826426128031837e-05,0.003011006954683963,-6.826426128031837e-05,14.1,199.3,False,False,False,0,unknown
